"i0","simulated_y","y","actual_response","cutoff","beta0","beta1","beta2","delta","modified_covariate","x2","eta","probability","residual","score_intercept","score_x1","score_x2","design_norm","score_norm","tukey_argument","robust_weight"
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-40,-40.1189925918435,0.042010562831985,-40.6399978732595,2.24012977763594e-18,-2.24012977763594e-18,-2.24012977763594e-18,8.98717499537442e-17,-9.41091127751751e-20,40.1314755705766,8.98997134461177e-17,8.98997134461177e-17,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.99,-40.1089925918435,0.042010562831985,-40.6299978732595,2.26264345619139e-18,-2.26264345619139e-18,-2.26264345619139e-18,9.07523496223638e-17,-9.50549250827083e-20,40.1214786818725,9.07806011922613e-17,9.07806011922613e-17,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.98,-40.0989925918435,0.042010562831985,-40.6199978732595,2.28538340097803e-18,-2.28538340097803e-18,-2.28538340097803e-18,9.16415720653401e-17,-9.6010242961963e-20,40.1114817947195,9.16701146822842e-17,9.16701146822842e-17,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.97,-40.0889925918435,0.042010562831985,-40.6099978732595,2.30835188600924e-18,-2.30835188600924e-18,-2.30835188600924e-18,9.25395016575923e-17,-9.69751619455221e-20,40.1014849091187,9.25683383217351e-17,9.25683383217351e-17,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.96,-40.0789925918435,0.042010562831985,-40.5999978732595,2.33155120815268e-18,-2.33155120815268e-18,-2.33155120815268e-18,9.3446223599055e-17,-9.79497785260887e-20,40.0914880250713,9.34753573414937e-17,9.34753573414937e-17,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.95,-40.0689925918435,0.042010562831985,-40.5899978732595,2.3549836873599e-18,-2.3549836873599e-18,-2.3549836873599e-18,9.43618239227363e-17,-9.89341901661329e-20,40.0814911425785,9.43912578058329e-17,9.43912578058329e-17,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.94,-40.0589925918435,0.042010562831985,-40.5799978732595,2.37865166689837e-18,-2.37865166689837e-18,-2.37865166689837e-18,9.52863895028582e-17,-9.992849530764e-20,40.0714942616414,9.5316126620562e-17,9.5316126620562e-17,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.93,-40.0489925918435,0.042010562831985,-40.5699978732595,2.40255751358573e-18,-2.40255751358573e-18,-2.40255751358573e-18,9.62200080630729e-17,-1.00932793381951e-19,40.0614973822613,9.62500515412469e-17,9.62500515412469e-17,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.92,-40.0389925918435,0.042010562831985,-40.5599978732595,2.42670361802659e-18,-2.42670361802659e-18,-2.42670361802659e-18,9.71627681847664e-17,-1.01947184819711e-19,40.0515005044392,9.71931211815162e-17,9.71931211815162e-17,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.91,-40.0289925918435,0.042010562831985,-40.5499978732595,2.45109239485152e-18,-2.45109239485152e-18,-2.45109239485152e-18,9.81147593154355e-17,-1.0297177106091e-19,40.0415036281763,9.81454250214424e-17,9.81454250214424e-17,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.9,-40.0189925918435,0.042010562831985,-40.5399978732595,2.47572628295851e-18,-2.47572628295851e-18,-2.47572628295851e-18,9.90760717771488e-17,-1.04006654565025e-19,40.0315067534738,9.9107053416006e-17,9.9107053416006e-17,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.89,-40.0089925918435,0.042010562831985,-40.5299978732595,2.5006077457569e-18,-2.5006077457569e-18,-2.5006077457569e-18,1.00046796775094e-16,-1.05051938821269e-19,40.0215098803328,1.00078097603647e-16,1.00078097603647e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.88,-39.9989925918435,0.042010562831985,-40.5199978732595,2.52573927141372e-18,-2.52573927141372e-18,-2.52573927141372e-18,1.01027026406206e-16,-1.06107728358938e-19,40.0115130087546,1.01058649714893e-16,1.01058649714893e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.87,-39.9889925918435,0.042010562831985,-40.5099978732595,2.55112337310249e-18,-2.55112337310249e-18,-2.55112337310249e-18,1.02016853667874e-16,-1.07174128757867e-19,40.0015161387403,1.02048802781077e-16,1.02048802781077e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.86,-39.9789925918435,0.042010562831985,-40.4999978732595,2.57676258925449e-18,-2.57676258925449e-18,-2.57676258925449e-18,1.03016372466745e-16,-1.08251246658984e-19,39.9915192702911,1.03048650743136e-16,1.03048650743136e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.85,-39.9689925918435,0.042010562831985,-40.4899978732595,2.60265948381272e-18,-2.60265948381272e-18,-2.60265948381272e-18,1.04025677627602e-16,-1.09339189774976e-19,39.9815224034082,1.04058288460501e-16,1.04058288460501e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.84,-39.9589925918435,0.042010562831985,-40.4799978732595,2.62881664648823e-18,-2.62881664648823e-18,-2.62881664648823e-18,1.05044864902338e-16,-1.10438066901062e-19,39.9715255380927,1.05077811720067e-16,1.05077811720067e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.83,-39.9489925918435,0.042010562831985,-40.4699978732595,2.65523669301909e-18,-2.65523669301909e-18,-2.65523669301909e-18,1.06074030979011e-16,-1.11547987925871e-19,39.9615286743458,1.06107317245257e-16,1.06107317245257e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.82,-39.9389925918435,0.042010562831985,-40.4599978732595,2.68192226543194e-18,-2.68192226543194e-18,-2.68192226543194e-18,1.07113273490987e-16,-1.12669063842428e-19,39.9515318121686,1.07146902705168e-16,1.07146902705168e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.81,-39.9289925918435,0.042010562831985,-40.4499978732595,2.70887603230628e-18,-2.70887603230628e-18,-2.70887603230628e-18,1.0816269102618e-16,-1.13801406759261e-19,39.9415349515624,1.08196666723811e-16,1.08196666723811e-16,1
